INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
I.E Lorenza Villegas De  Santos;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;30;;;30;03/10/2024;0,00; $ 49.057.430 ;;; $ 49.057.430 ;;;; $ 49.057.430 ; $ 292.270 ;;;; $ 292.270 ;31/10/2024;0,60%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
I.E Monseñor Francisco  Cristóbal Toro;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;120;;;120;01/01/2025;30,00; $ 507.835.793 ;;; $ 507.835.793 ;;;; $ 507.835.793 ; $ 3.025.541 ;;;; $ 3.025.541 ;31/10/2024;0,60%;8,29%; $ 42.099.587 ;8,29%; $ 42.099.587 ;0,00%;8,29%;8,29%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Tomas Carrasquilla  No. 1;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 252.537.432 ;;; $ 252.537.432 ;;;; $ 252.537.432 ; $ 1.504.546 ;;;; $ 1.504.546 ;31/10/2024;0,60%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Ana Frank;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 490.703.800 ;;; $ 490.703.800 ;;;; $ 490.703.800 ; $ 132.650.151 ;;;; $ 132.650.151 ;31/10/2024;27,03%;29,23%; $ 143.432.721 ;29,23%; $ 143.432.721 ;0,00%;29,23%;29,23%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Esteban Jaramillo;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;30;;;30;03/10/2024;0,00; $ 49.057.430 ;;; $ 49.057.430 ;;;; $ 49.057.430 ; $ 8.822.739 ;;;; $ 8.822.739 ;31/10/2024;17,98%;14,00%; $ 6.868.040 ;14,00%; $ 6.868.040 ;0,00%;14,00%;14,00%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Seguros Bolívar;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;30;;;30;03/10/2024;0,00; $ 49.057.430 ;;; $ 49.057.430 ;;;; $ 49.057.430 ; $ 23.142.808 ;;;; $ 23.142.808 ;31/10/2024;47,17%;47,17%; $ 23.140.390 ;47,17%; $ 23.140.390 ;0,00%;47,17%;47,17%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Simona Duque;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 297.659.941 ;;; $ 297.659.941 ;;;; $ 297.659.941 ; $ 52.113.658 ;;;; $ 52.113.658 ;31/10/2024;17,51%;16,89%; $ 50.274.764 ;16,89%; $ 50.274.764 ;0,00%;16,89%;16,89%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
I.E Alfonso Mora Naranjo;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 170.325.525 ;;; $ 170.325.525 ;;;; $ 170.325.525 ; $ 1.014.751 ;;;; $ 1.014.751 ;31/10/2024;0,60%;5,47%; $ 9.316.806 ;5,47%; $ 9.316.806 ;0,00%;5,47%;5,47%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
I.E San Juan Bosco;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;30;;;30;03/10/2024;0,00; $ 97.445.688 ;;; $ 97.445.688 ;;;; $ 97.445.688 ; $ 24.537.420 ;;;; $ 24.537.420 ;31/10/2024;25,18%;25,18%; $ 24.536.824 ;25,18%; $ 24.536.824 ;0,00%;25,18%;25,18%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
S.E Julio Arboleda;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 169.032.487 ;;; $ 169.032.487 ;;;; $ 169.032.487 ; $ 1.007.047 ;;;; $ 1.007.047 ;31/10/2024;0,60%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Institución Educativa Barrio  Santa Cruz;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;150;;;150;31/01/2025;60,00; $ 1.005.416.675 ;;; $ 1.005.416.675 ;;;; $ 1.005.416.675 ; $ 4.504.815 ;;;; $ 4.504.815 ;;0,45%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Sección Escuela Juan  Bautista Montini;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;90;;;90;02/12/2024;0,00; $ 477.945.351 ;;; $ 477.945.351 ;;;; $ 477.945.351 ; $ 16.905.273 ;;;; $ 16.905.273 ;;3,54%;39,00%; $ 186.398.687 ;22,00%; $ 105.147.977 ;-17,00%;39,00%;22,00%;-17,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Sección Escuela La Isla;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;90;;;90;02/12/2024;0,00; $ 366.084.869 ;;; $ 366.084.869 ;;;; $ 366.084.869 ; $ 30.956.703 ;;;; $ 30.956.703 ;;8,46%;54,00%; $ 197.685.829 ;20,00%; $ 73.216.974 ;-34,00%;54,00%;20,00%;-34,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Institución Educativa Asia  Ignaciana;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 49.070.521 ;;; $ 49.070.521 ;;;; $ 49.070.521 ; $ 219.863 ;;;; $ 219.863 ;;0,45%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Sección Escuela Arzobispo  García;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;90;;;90;02/12/2024;0,00; $ 471.411.795 ;;; $ 471.411.795 ;;;; $ 471.411.795 ; $ 24.104.529 ;;;; $ 24.104.529 ;;5,11%;58,00%; $ 273.418.841 ;45,00%; $ 212.135.308 ;-13,00%;58,00%;25,00%;-33,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Institución Educativa Villa Del  Socorro;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;150;;;150;31/01/2025;60,00; $ 969.556.629 ;;; $ 969.556.629 ;;;; $ 969.556.629 ; $ 4.344.142 ;;;; $ 4.344.142 ;;0,45%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
Sección Escuela Villa Niza;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-266;02 SANTA CRUZ;Obra;En ejecución;04/09/2024;150;;;150;31/01/2025;60,00; $ 845.313.304 ;;; $ 845.313.304 ;;;; $ 845.313.304 ; $ 3.787.464 ;;;; $ 3.787.464 ;;0,45%;; $ - ;; $ - ;0,00%;;;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
SECCION ESCUELA MEDELLIN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;120;;;120;20/01/2025;49,00; $ 785.866.482 ;;; $ 785.866.482 ;; $ 11.291.759 ;; $ 797.158.241 ;;;;; $ - ;;0,00%;36,00%; $ 0 ;21,00%; $ 167.403.231 ;-15,00%;7,67%;9,84%;2,17%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA LA CANDELARIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;150;;;150;19/02/2025;79,00; $ 362.791.008 ;;; $ 362.791.008 ;; $ 5.016.782 ;; $ 367.807.790 ;;;;; $ - ;;0,00%;7,00%; $ 0 ;3,00%; $ 11.034.234 ;-4,00%;3,45%;5,45%;2,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA MARIA DE LOS ANGELES CANO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;180;;;180;21/03/2025;109,00; $ 981.514.993 ;;; $ 981.514.993 ;; $ 14.167.503 ;; $ 995.682.496 ;;;;; $ - ;;0,00%;11,00%; $ 0 ;9,00%; $ 89.611.425 ;-2,00%;6,63%;6,89%;0,26%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA SAN PABLO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;90;;;90;21/12/2024;19,00; $ 386.241.008 ;;; $ 386.241.008 ;; $ 5.402.344 ;; $ 391.643.352 ;;;;; $ - ;;0,00%;40,00%; $ 0 ;11,00%; $ 43.080.769 ;-29,00%;16,51%;21,40%;4,89%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA FE Y ALEGRIA SANTO DOMINGO SAVIO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;120;;;120;20/01/2025;49,00; $ 426.875.073 ;;; $ 426.875.073 ;; $ 5.982.395 ;; $ 432.857.468 ;;;;; $ - ;;0,00%;8,00%; $ 0 ;5,00%; $ 21.642.873 ;-3,00%;2,62%;6,74%;4,12%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA AGRIPINA MONTES DEL VALLE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;120;;;120;20/01/2025;49,00; $ 595.639.276 ;;; $ 595.639.276 ;; $ 8.478.362 ;; $ 604.117.638 ;;;;; $ - ;;0,00%;7,00%; $ 0 ;5,00%; $ 30.205.882 ;-2,00%;0,91%;4,17%;3,26%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA MARCO FIDEL SUAREZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;60;;;60;21/11/2024;0,00; $ 154.357.283 ;;; $ 154.357.283 ;; $ 2.026.175 ;; $ 156.383.458 ;;;;; $ - ;;0,00%;25,00%; $ 0 ;2,00%; $ 3.127.669 ;-23,00%;11,12%;1,09%;-10,03%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA FE Y ALEGRIA SEGUNDA AGRUPACIÓN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;90;;;90;21/12/2024;19,00; $ 438.827.710 ;;; $ 438.827.710 ;; $ 6.180.084 ;; $ 445.007.794 ;;;;; $ - ;;0,00%;15,00%; $ 0 ;3,00%; $ 13.350.234 ;-12,00%;2,86%;3,41%;0,55%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA SANTO DOMINGO SAVIO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-268;01 POPULAR;Obra;En ejecución;23/09/2024;150;;;150;19/02/2025;79,00; $ 948.297.543 ;;; $ 948.297.543 ;; $ 13.676.228 ;; $ 961.973.771 ;;;;; $ - ;;0,00%;16,00%; $ 0 ;2,00%; $ 19.239.475 ;-14,00%;2,84%;5,27%;2,43%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA DIEGO ECHAVARRIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;60;;;60;25/10/2024;0,00; $ 246.733.375 ;;; $ 246.733.375 ;;;; $ 246.733.375 ;;;;; $ - ;;0,00%;16,50%; $ 40.711.007 ;17,00%; $ 41.944.674 ;0,50%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INSTITUCION EDUCATIVA GONZALO RESTREPO JARAMILLO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 281.278.238 ;;; $ 281.278.238 ;;;; $ 281.278.238 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INSTITUCION EDUCATIVA LA MILAGROSA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 267.231.264 ;;; $ 267.231.264 ;;;; $ 267.231.264 ;;;;; $ - ;;0,00%;12,00%; $ 32.067.752 ;11,00%; $ 29.395.439 ;-1,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INSTITUCION EDUCATIVA MADRE MARIA MAZARELLO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;60;;;60;25/10/2024;0,00; $ 98.624.057 ;;; $ 98.624.057 ;;;; $ 98.624.057 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
SECCION ESCUELA JUAN CANCIO RESTREPO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 290.642.887 ;;; $ 290.642.887 ;;;; $ 290.642.887 ;;;;; $ - ;;0,00%;8,20%; $ 23.832.717 ;8,00%; $ 23.251.431 ;-0,20%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INSTITUCION EDUCATIVA ARZOBISPO TULIO BOTERO SALAZAR;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 473.253.544 ;;; $ 473.253.544 ;;;; $ 473.253.544 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
INSTITUCION EDUCATIVA LA PASTORA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 243.819.641 ;;; $ 243.819.641 ;;;; $ 243.819.641 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
SECCION ESCUELA MERCEDEZ YEPES ISAZA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-281;09 BUENOS AIRES;Obra;En ejecución;27/08/2024;90;;;90;24/11/2024;0,00; $ 342.148.457 ;;; $ 342.148.457 ;;;; $ 342.148.457 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;YUDY ALEXANDRA MARULANDA AGUDELO;CESAR AUGUSTO TORRES REAL;
Cuarta Brigada 2 Etapa;ALCALDÍA;4600098547;Seguridad;Cuarta Brigada;2024;3306-132;11 LAURELES ESTADIO;Interventoría;En ejecución;27/05/2024;195;;;195;07/12/2024;5,00; $ 700.000.001 ; $ - ;; $ 700.000.001 ;;;; $ 700.000.001 ; $ 441.285.465 ;;;; $ 441.285.465 ;01/11/2024;63,04%;81,00%; $ 567.000.001 ;81,00%; $ 567.000.001 ;0,00%;81,00%;63,00%;-18,00%;CLAUDIA ANDREA BORREGO GARCÍA;JORGE ANDRÉS OSORIO AGUILAR;98547 DE 2023 CUARTA BRIGADA
INSTITUCION FE Y ALEGRIA AURES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-133;07 ROBLEDO;Obra;En ejecución;01/08/2024;60;52;;112;20/11/2024;0,00; $ 473.723.788 ; $ - ;; $ 473.723.788 ;;;; $ 473.723.788 ; $ 27.113.688 ;;;; $ 27.113.688 ;30/10/2024;5,72%;0,00%; $ - ;67,00%; $ 317.394.938 ;67,00%;3,00%;19,00%;16,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA   BARRIO OLAYA HERRERA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-133;07 ROBLEDO;Obra;En ejecución;01/08/2024;60;52;;112;20/11/2024;0,00; $ 213.693.416 ; $ - ;; $ 213.693.416 ;;;; $ 213.693.416 ; $ 11.109.796 ;;;; $ 11.109.796 ;30/10/2024;5,20%;3,00%; $ 6.410.802 ;80,00%; $ 170.954.733 ;77,00%;2,00%;47,00%;45,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA SANTA JUANA DE LESTONAC;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-133;06 DOCE DE OCTUBRE;Obra;En ejecución;01/08/2024;60;52;;112;20/11/2024;0,00; $ 123.021.845 ; $ - ;; $ 123.021.845 ;;;; $ 123.021.845 ; $ 27.113.688 ;;;; $ 27.113.688 ;30/10/2024;22,04%;0,00%; $ - ;98,00%; $ 120.561.408 ;98,00%;0,00%;99,32%;99,32%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;95806 DE 2022 EDUCACIÓN
INSTITUTO TECNICO INDUSTRIAL   PASCUAL BRAVO ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-133;07 ROBLEDO;Obra;En ejecución;01/08/2024;60;52;;112;20/11/2024;0,00; $ 316.844.798 ; $ - ;; $ 316.844.798 ;;;; $ 316.844.798 ; $ 35.929.583 ;;;; $ 35.929.583 ;30/10/2024;11,34%;5,03%; $ 15.937.293 ;66,00%; $ 209.117.567 ;60,97%;4,00%;31,00%;27,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA RODRIGO CORREA PALACIO;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-137;05 CASTILLA;Obra;En ejecución;11/07/2024;60;30;;90;08/10/2024;0,00; $ 189.024.424 ; $ 86.798.656 ;; $ 275.823.080 ;;;; $ 275.823.080 ; $ 46.904.394 ;;;; $ 46.904.394 ;30/09/2024;17,01%;97,00%; $ 267.548.388 ;69,00%; $ 190.317.925 ;-28,00%;96,42%;57,09%;-39,33%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA COLEGIO  LOYOLA PARA LA CIENCIA Y LA INNOVACION;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-137;05 CASTILLA;Obra;En ejecución;11/07/2024;60;30;;90;08/10/2024;0,00; $ 52.900.018 ; $ 81.325.861 ;; $ 134.225.879 ;;;; $ 134.225.879 ; $ - ;;;; $ - ;30/09/2024;0,00%;93,00%; $ 124.830.067 ;19,00%; $ 25.502.917 ;-74,00%;93,00%;20,05%;-72,95%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE MEDELLIN;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-137;08 VILLA HERMOSA;Obra;En ejecución;11/07/2024;60;30;;90;08/10/2024;0,00; $ 186.215.137 ; $ 184.705.085 ;; $ 370.920.222 ;;;; $ 370.920.222 ; $ - ;;;; $ - ;30/09/2024;0,00%;93,00%; $ 344.955.806 ;45,00%; $ 166.914.100 ;-48,00%;93,00%;45,00%;-48,00%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
INSTITUCION EDUCATIVA  LUIS LOPEZ DE MESA;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-137;07 ROBLEDO;Obra;En ejecución;11/07/2024;60;30;;90;08/10/2024;0,00; $ 217.201.100 ; $ - ;; $ 217.201.100 ;;;; $ 217.201.100 ; $ 82.131.011 ;;;; $ 82.131.011 ;30/09/2024;37,81%;98,00%; $ 212.857.078 ;76,00%; $ 165.072.836 ;-22,00%;97,83%;85,26%;-12,57%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
SECCION ESCUELA EL DIAMANTE;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-137;07 ROBLEDO;Obra;En ejecución;11/07/2024;60;30;;90;08/10/2024;0,00; $ 89.710.149 ; $ - ;; $ 89.710.149 ;;;; $ 89.710.149 ; $ 8.490.914 ;;;; $ 8.490.914 ;30/09/2024;9,46%;96,00%; $ 86.121.743 ;79,00%; $ 70.871.018 ;-17,00%;96,44%;66,37%;-30,07%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
CONSORCIO PRISMA INGENIERÍA - INTERVENTORÍA;ALCALDÍA;95796;Educación - Recursos ordinarios;Grupo 5;2024;3306-145;;Interventoría;En ejecución;11/07/2024;75;30;;105;23/10/2024;0,00; $ 159.946.641 ;;; $ 159.946.641 ;;;; $ 159.946.641 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;YISLEN RINCÓN;ANA MARÍA SÁCHICA PÉREZ;
CONTINGENCIAS - CONSORCIO TC EDUCATIVO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-150;;Contingencia;En ejecución;25/06/2024;190;;;190;31/12/2024;29,00; $ 1.250.000.000 ; $ 1.706.824.218 ;; $ 2.956.824.218 ;;;; $ 2.956.824.218 ; $ 1.018.813.286 ;;;; $ 1.018.813.286 ;27/10/2024;34,46%;44,00%; $ 1.301.002.656 ;50,00%; $ 1.478.412.109 ;6,00%;49,00%;52,00%;3,00%;MÓNICA VÉLEZ;JUAN CARLOS ZULUAGA;95806 DE 2022 EDUCACIÓN
TOTALL INC SAS BIC;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-155;;Interventoría;En ejecución;11/07/2024;105;90;0;195;21/01/2025;50,00; $ 332.321.152 ; $ 169.564.241 ;; $ 501.885.393 ;;;; $ 501.885.393 ; $ 220.501.657 ;;;; $ 220.501.657 ;31/10/2024;43,93%;; $ - ;; $ - ;0,00%;;;0,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
TOTALL INC SAS BIC;ALCALDÍA;96269-2022;Buen comienzo;Grupo 4;2024;3306-158;;Interventoría;En ejecución;09/07/2024;105;60;;105;21/10/2024;0,00; $ 306.094.524 ; $ 132.587.318 ;; $ 438.681.842 ;;;; $ 438.681.842 ; $ 141.558.608 ;;;; $ 141.558.608 ;31/10/2024;32,27%;; $ - ;; $ - ;0,00%;;;0,00%;JUAN ESTEBAN IDARRAGA;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
UNION TEMPORAL AIO ESTEC OC 20( ALFA Y OMEGA INGENIEROS S.A.S E INGENIERIA ESTEC TECNOLÓGICA S.A.S;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-160;;Interventoría;En ejecución;01/08/2024;105;22;;127;05/12/2024;3,00;;;; $ - ;;;; $ - ; $ 144.843.305 ;;;; $ 144.843.305 ;30/10/2024;0,00%;; $ - ;85,71%; $ - ;85,71%;;52,42%;52,42%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
DEMOLICIONES ZONA NORTE INTERVENTORIA;ALCALDÍA;90098;Proyectos del Norte;Zona Norte;2024;3306-161;;Interventoría;En ejecución;24/07/2024;90;;;90;21/10/2024;0,00; $ 182.559.201 ;;; $ 182.559.201 ;;;; $ 182.559.201 ; $ 80.791.118 ;;;; $ 80.791.118 ;;44,25%;87,00%; $ 158.826.505 ;87,00%; $ 158.826.505 ;0,00%;53,59%;55,59%;2,00%;YUDY ALEXANDRA MARULANDA AGUDELO;MARTA CECILIA LÓPEZ GAVIRIA;
CONSORCIO INGE-HMGT 2024;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3306-165;;Interventoría;En ejecución;03/07/2024;165;;;165;14/12/2024;12,00; $ 438.445.597 ;;; $ 438.445.597 ;;;; $ 438.445.597 ;;;;; $ - ;;0,00%;; $ - ;; $ - ;0,00%;;;0,00%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
